municipality,municipalityLabel,district,districtLabel,state,stateLabel
http://www.wikidata.org/entity/Q505540,Hepstedt,http://www.wikidata.org/entity/Q485862,Tarmstedt,http://www.wikidata.org/entity/Q1197,Lower Saxony
http://www.wikidata.org/entity/Q505536,Südergellersen,http://www.wikidata.org/entity/Q315001,Gellersen,http://www.wikidata.org/entity/Q1197,Lower Saxony
http://www.wikidata.org/entity/Q506065,Klosterlechfeld,http://www.wikidata.org/entity/Q10414,Augsburg,http://www.wikidata.org/entity/Q980,Bavaria
http://www.wikidata.org/entity/Q505587,Hemsloh,http://www.wikidata.org/entity/Q453788,Rehden,http://www.wikidata.org/entity/Q1197,Lower Saxony
http://www.wikidata.org/entity/Q505636,Obermeitingen,http://www.wikidata.org/entity/Q10507,Landsberg am Lech,http://www.wikidata.org/entity/Q980,Bavaria
http://www.wikidata.org/entity/Q506050,Nordheim,http://www.wikidata.org/entity/Q7166,Heilbronn,http://www.wikidata.org/entity/Q985,Baden-Württemberg
http://www.wikidata.org/entity/Q505593,Hurlach,http://www.wikidata.org/entity/Q10507,Landsberg am Lech,http://www.wikidata.org/entity/Q980,Bavaria
http://www.wikidata.org/entity/Q505642,Eckersdorf,http://www.wikidata.org/entity/Q10439,Bayreuth,http://www.wikidata.org/entity/Q980,Bavaria
http://www.wikidata.org/entity/Q505927,Haidmühle,http://www.wikidata.org/entity/Q10487,Freyung-Grafenau,http://www.wikidata.org/entity/Q980,Bavaria
http://www.wikidata.org/entity/Q505547,Schwifting,http://www.wikidata.org/entity/Q10507,Landsberg am Lech,http://www.wikidata.org/entity/Q980,Bavaria
http://www.wikidata.org/entity/Q506003,Paunzhausen,http://www.wikidata.org/entity/Q10497,Freising,http://www.wikidata.org/entity/Q980,Bavaria
http://www.wikidata.org/entity/Q505773,Sankt Oswald-Riedlhütte,http://www.wikidata.org/entity/Q10487,Freyung-Grafenau,http://www.wikidata.org/entity/Q980,Bavaria
http://www.wikidata.org/entity/Q505739,Leupoldsgrün,http://www.wikidata.org/entity/Q10431,Hof,http://www.wikidata.org/entity/Q980,Bavaria
