municipality,municipalityLabel,district,districtLabel,state,stateLabel
http://www.wikidata.org/entity/Q17112,Bernsdorf,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q20206,Klocksin,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q20304,Zislow,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q17129,Schönberg,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q20294,Nossentiner Hütte,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q20196,Groß Plasten,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q20198,Hohen Wangelin,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q17127,Reinsdorf,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q17118,Hartmannsdorf bei Kirchberg,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q16072,Zschepplin,http://www.wikidata.org/entity/Q6301,Nordsachsen,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q20263,Rechlin,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q17124,Neukirchen,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q20302,Walow,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q20207,Moltzow,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q20195,Grabowhöfe,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q17130,Sankt Egidien,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q20310,Kuckssee,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q17122,Lichtentanne,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q17121,Langenweißbach,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q17125,Niederfrohna,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q16111,Ganderkesee,http://www.wikidata.org/entity/Q5952,Oldenburg,http://www.wikidata.org/entity/Q1197,Lower Saxony
http://www.wikidata.org/entity/Q20287,Fünfseen,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q17123,Mülsen,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q20216,Vollrathsruhe,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q20200,Jabel,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q20308,Ankershagen,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q20211,Peenehagen,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q20194,Schloen-Dratow,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q17119,Hirschfeld,http://www.wikidata.org/entity/Q6330,Zwickau,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q20246,Lärz,http://www.wikidata.org/entity/Q2902,Mecklenburgische Seenplatte District,http://www.wikidata.org/entity/Q1196,Mecklenburg-Western Pomerania
http://www.wikidata.org/entity/Q16065,Schönwölkau,http://www.wikidata.org/entity/Q6301,Nordsachsen,http://www.wikidata.org/entity/Q1202,Saxony
http://www.wikidata.org/entity/Q16060,Naundorf,http://www.wikidata.org/entity/Q6301,Nordsachsen,http://www.wikidata.org/entity/Q1202,Saxony
